step 01036/01905 (54.38%) | loss: 3.450497 | lrm: 0.72 | dt: 897.02ms | tok/sec: 292,237 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 11 | total time: 15.65m | eta: 13.3m
step 01037/01905 (54.44%) | loss: 3.422281 | lrm: 0.72 | dt: 886.55ms | tok/sec: 295,688 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 11 | total time: 15.66m | eta: 13.2m
step 01038/01905 (54.49%) | loss: 3.416602 | lrm: 0.72 | dt: 921.75ms | tok/sec: 284,398 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 12 | total time: 15.68m | eta: 13.2m
step 01039/01905 (54.54%) | loss: 3.413195 | lrm: 0.71 | dt: 890.42ms | tok/sec: 294,404 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 12 | total time: 15.69m | eta: 13.2m
step 01040/01905 (54.59%) | loss: 3.415331 | lrm: 0.71 | dt: 909.71ms | tok/sec: 288,163 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 13 | total time: 15.71m | eta: 13.2m
step 01041/01905 (54.65%) | loss: 3.415209 | lrm: 0.71 | dt: 917.13ms | tok/sec: 285,831 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 13 | total time: 15.72m | eta: 13.2m
step 01042/01905 (54.70%) | loss: 3.426744 | lrm: 0.71 | dt: 922.13ms | tok/sec: 284,281 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 14 | total time: 15.74m | eta: 13.2m
step 01043/01905 (54.75%) | loss: 3.444284 | lrm: 0.71 | dt: 898.07ms | tok/sec: 291,896 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 14 | total time: 15.75m | eta: 13.1m
step 01044/01905 (54.80%) | loss: 3.439787 | lrm: 0.71 | dt: 915.85ms | tok/sec: 286,231 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 15 | total time: 15.77m | eta: 13.1m
step 01045/01905 (54.86%) | loss: 3.434453 | lrm: 0.71 | dt: 876.52ms | tok/sec: 299,074 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 15 | total time: 15.78m | eta: 13.1m
step 01046/01905 (54.91%) | loss: 3.419915 | lrm: 0.71 | dt: 910.19ms | tok/sec: 288,009 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 16 | total time: 15.80m | eta: 13.1m
step 01047/01905 (54.96%) | loss: 3.396030 | lrm: 0.71 | dt: 878.38ms | tok/sec: 298,438 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 16 | total time: 15.81m | eta: 13.1m
step 01048/01905 (55.01%) | loss: 3.391164 | lrm: 0.71 | dt: 895.67ms | tok/sec: 292,679 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 17 | total time: 15.83m | eta: 13.1m
step 01049/01905 (55.07%) | loss: 3.385202 | lrm: 0.71 | dt: 882.16ms | tok/sec: 297,163 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 17 | total time: 15.84m | eta: 13.1m
step 01050/01905 (55.12%) | loss: 3.425747 | lrm: 0.71 | dt: 966.38ms | tok/sec: 271,264 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 18 | total time: 15.86m | eta: 13.0m
step 01051/01905 (55.17%) | loss: 3.420463 | lrm: 0.71 | dt: 894.44ms | tok/sec: 293,081 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 18 | total time: 15.87m | eta: 13.0m
step 01052/01905 (55.22%) | loss: 3.431973 | lrm: 0.70 | dt: 916.71ms | tok/sec: 285,961 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 19 | total time: 15.89m | eta: 13.0m
step 01053/01905 (55.28%) | loss: 3.421347 | lrm: 0.70 | dt: 884.70ms | tok/sec: 296,308 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 19 | total time: 15.90m | eta: 13.0m
step 01054/01905 (55.33%) | loss: 3.428862 | lrm: 0.70 | dt: 925.11ms | tok/sec: 283,363 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 20 | total time: 15.92m | eta: 13.0m
step 01055/01905 (55.38%) | loss: 3.417648 | lrm: 0.70 | dt: 910.70ms | tok/sec: 287,847 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 20 | total time: 15.93m | eta: 13.0m
step 01056/01905 (55.43%) | loss: 3.411918 | lrm: 0.70 | dt: 924.01ms | tok/sec: 283,702 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 21 | total time: 15.95m | eta: 12.9m
step 01057/01905 (55.49%) | loss: 3.422413 | lrm: 0.70 | dt: 902.16ms | tok/sec: 290,572 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 21 | total time: 15.97m | eta: 12.9m
step 01058/01905 (55.54%) | loss: 3.417123 | lrm: 0.70 | dt: 918.09ms | tok/sec: 285,531 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 22 | total time: 15.98m | eta: 12.9m
step 01059/01905 (55.59%) | loss: 3.404243 | lrm: 0.70 | dt: 913.49ms | tok/sec: 286,968 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 22 | total time: 16.00m | eta: 12.9m
step 01060/01905 (55.64%) | loss: 3.394213 | lrm: 0.70 | dt: 886.47ms | tok/sec: 295,715 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 22 | total time: 16.01m | eta: 12.9m
step 01061/01905 (55.70%) | loss: 3.384765 | lrm: 0.70 | dt: 880.38ms | tok/sec: 297,762 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 23 | total time: 16.03m | eta: 12.9m
step 01062/01905 (55.75%) | loss: 3.410746 | lrm: 0.70 | dt: 863.63ms | tok/sec: 303,538 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 23 | total time: 16.04m | eta: 12.9m
step 01063/01905 (55.80%) | loss: 3.429325 | lrm: 0.70 | dt: 904.75ms | tok/sec: 289,741 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 24 | total time: 16.05m | eta: 12.8m
step 01064/01905 (55.85%) | loss: 3.417321 | lrm: 0.70 | dt: 876.29ms | tok/sec: 299,151 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 24 | total time: 16.07m | eta: 12.8m
step 01065/01905 (55.91%) | loss: 3.413282 | lrm: 0.69 | dt: 915.44ms | tok/sec: 286,357 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 25 | total time: 16.08m | eta: 12.8m
step 01066/01905 (55.96%) | loss: 3.419229 | lrm: 0.69 | dt: 924.02ms | tok/sec: 283,698 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 25 | total time: 16.10m | eta: 12.8m
step 01067/01905 (56.01%) | loss: 3.452579 | lrm: 0.69 | dt: 922.11ms | tok/sec: 284,286 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 26 | total time: 16.12m | eta: 12.8m
step 01068/01905 (56.06%) | loss: 3.455594 | lrm: 0.69 | dt: 888.48ms | tok/sec: 295,046 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 26 | total time: 16.13m | eta: 12.8m
step 01069/01905 (56.12%) | loss: 3.484176 | lrm: 0.69 | dt: 924.65ms | tok/sec: 283,506 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 27 | total time: 16.15m | eta: 12.7m
step 01070/01905 (56.17%) | loss: 3.477656 | lrm: 0.69 | dt: 886.58ms | tok/sec: 295,678 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 27 | total time: 16.16m | eta: 12.7m
step 01071/01905 (56.22%) | loss: 3.487084 | lrm: 0.69 | dt: 913.20ms | tok/sec: 287,061 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 28 | total time: 16.18m | eta: 12.7m
step 01072/01905 (56.27%) | loss: 3.479206 | lrm: 0.69 | dt: 889.58ms | tok/sec: 294,682 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 28 | total time: 16.19m | eta: 12.7m
step 01073/01905 (56.33%) | loss: 3.472189 | lrm: 0.69 | dt: 925.34ms | tok/sec: 283,294 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 29 | total time: 16.21m | eta: 12.7m
step 01074/01905 (56.38%) | loss: 3.461778 | lrm: 0.69 | dt: 885.44ms | tok/sec: 296,060 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 29 | total time: 16.22m | eta: 12.7m
step 01075/01905 (56.43%) | loss: 3.454707 | lrm: 0.69 | dt: 916.26ms | tok/sec: 286,101 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 30 | total time: 16.24m | eta: 12.7m
step 01076/01905 (56.48%) | loss: 3.458220 | lrm: 0.69 | dt: 887.22ms | tok/sec: 295,467 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 30 | total time: 16.25m | eta: 12.6m
step 01077/01905 (56.54%) | loss: 3.437286 | lrm: 0.69 | dt: 917.30ms | tok/sec: 285,778 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 31 | total time: 16.27m | eta: 12.6m
